Year,Susan Butcher,Rick Swenson,Martin Buser,Jeff King,Doug Swingley,Lance Mackey,Dallas Seavey,Mitch Seavey
1,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
4,0,2,0,1,1,0,0,0
5,0,2,0,1,1,0,0,0
6,0,3,0,1,1,1,1,0
7,0,4,0,2,1,2,1,0
8,0,4,0,2,2,3,2,0
9,1,4,1,3,3,4,3,0
10,2,4,1,3,4,4,4,0
11,3,4,2,3,4,4,4,1
12,3,4,2,3,4,4,4,1
13,4,4,2,3,4,4,4,1
14,4,4,3,3,4,4,4,1
15,4,4,3,3,4,4,4,1
16,4,5,3,3,4,4,4,1
17,4,5,3,4,4,4,4,1
18,4,5,3,4,4,4,4,1
19,4,5,4,4,4,4,4,1
20,4,5,4,4,4,4,4,2
21,4,5,4,4,4,4,4,2
22,4,5,4,4,4,4,4,2
23,4,5,4,4,4,4,4,2
24,4,5,4,4,4,4,4,3